status,code,url,sources,details,error
live,200,https://www.ayso.org/,manifest,src/pages/about/sources.astro; src/pages/governing-bodies.astro,
live,200,https://www.baberuthleague.org/,manifest,src/pages/governing-bodies.astro,
live,200,https://www.bgcsps.org,camp,Boys and Girls Club Al Davies Summer Program | Boys and Girls Club Lakewood Summer Program | Boys and Girls Club Milgard Eastside Summer Program | Boys and Girls Club Henry T Schatz Summer Program,
live,200,https://www.bgcsps.org/join-a-club/al-davies,camp,Boys & Girls Club Al Davies Summer Program - Week 3 | Boys & Girls Club Al Davies Summer Program - Week 8,
live,200,https://www.bgcsps.org/join-a-club/d-a-gonyea,camp,Boys & Girls Club D.A. Gonyea Summer Program - Week 2,
live,200,https://www.bgcsps.org/join-a-club/henry-t-schatz,camp,Boys & Girls Club Henry T. Schatz Summer Program - Week 4,
live,200,https://www.bgcsps.org/join-a-club/lakewood,camp,Boys & Girls Club Lakewood Summer Program - Week 1 | Boys & Girls Club Lakewood Summer Program - Week 5,
live,200,https://www.cdc.gov/heads-up/,manifest,src/content/body/concussion-protocol-basics.md; src/pages/about/sources.astro; src/pages/governing-bodies.astro,
live,200,https://www.cdc.gov/headsup,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.eatright.org/,manifest,src/content/body/pre-game-nutrition.md,
live,200,https://www.fablabeducation.org/program/day-camps/,camp,FABLAB Education Summer Camps 2026,
live,200,https://www.fiba.basketball/basketballrules,manifest,src/content/rules/basketball.md,
live,200,https://www.fifatrainingcentre.com/en/,manifest,src/content/body/acl-prevention-warmup.md,
live,200,https://www.firsttee.org,manifest,src/pages/resources/national-organizations.astro,
live,200,https://www.firsttee.org/,manifest,src/content/guides/golf.md,
live,200,"https://www.google.com/maps/search/?api=1&query=${camp.latitude},${camp.longitude}",manifest,src/pages/camps/[slug].astro,
live,200,https://www.google.com/maps/search/?api=1&query=${encodeURIComponent,manifest,src/pages/camps/[slug].astro,
live,200,https://www.healthychildren.org/,manifest,src/pages/about/sources.astro,
