status,code,url,note,sources
OK,200,https://www.aap.org/,HEAD,anaphylaxis-and-epipen-on-field.md; artificial-turf-temperatures-burn-risk.md; asthma-attack-on-field.md; broken-bone-vs-sprain.md; caffeine-youth-athletes.md; camp-counselor-vetting.md; cleats-and-foot-safety.md; coach-targeting-pattern.md; coach-verbal-abuse.md; creatine-youth-athletes.md; diabetic-emergency-on-field.md; drowning-rescue-and-monitoring.md; eating-disorders-in-sport.md; emergency-action-plan-template.md; energy-drinks-youth.md; fainting-syncope-on-field.md; febrile-seizure-on-field.md; growth-spurt-injury-window.md; hand-finger-fracture-triage.md; knee-braces-youth-sport.md; lgbtq-youth-athlete-safety.md; mental-health-crisis-conversation.md; mosquito-borne-illness.md; nosebleed-and-eye-injury.md; off-season-conditioning-safety.md; patellar-dislocation.md; play-through-pain-question.md; pollen-allergic-conjunctivitis.md; post-injury-depression.md; protein-powder-safety.md; sideline-first-aid-kit.md; soccer-headgear-data.md; suicidal-ideation-youth-athletes.md; sun-and-skin.md; swim-ear-infection-prevention.md; tick-prevention-lyme-disease.md; transporting-other-peoples-kids.md; vomiting-on-field-non-heat.md; water-polo-specific-safety.md; wildfire-smoke-aqi.md; youth-basketball-safety-briefing.md; youth-gymnastics-safety-briefing.md
OK,200,https://www.nfhs.org/,HEAD,banned-substances-hs-college.md; batting-helmet-face-guards.md; bullying-and-hazing.md; bus-and-banquet-conduct.md; cleats-and-foot-safety.md; ejection-and-appeals.md; helmet-bat-mouthguard-certification.md; helmet-recertification.md; lightning-at-the-field.md; locker-room-culture.md; nil-privacy-hs-athletes.md; pole-vault-helmet-debate.md; religious-accommodations-team-culture.md; sideline-parent-conduct.md; wrestling-headgear-skin-infections.md; youth-lacrosse-boys-safety-briefing.md; youth-wrestling-safety-briefing.md
OK,200,https://www.lung.org/lung-health-diseases/lung-disease-lookup/asthma,HEAD,asthma-attack-on-field.md
OK,200,https://www.aaaai.org/,HEAD,anaphylaxis-and-epipen-on-field.md; asthma-attack-on-field.md; chlorine-asthma-swimmers.md; pollen-allergic-conjunctivitis.md; restaurant-food-allergies-travel.md
OK,200,https://nocsae.org/,HEAD,batting-helmet-face-guards.md; catchers-gear-safety.md; helmet-bat-mouthguard-certification.md; helmet-recertification.md; used-gear-safety.md; youth-baseball-safety-briefing.md; youth-lacrosse-boys-safety-briefing.md; youth-softball-safety-briefing.md
OK,200,https://www.tsa.gov/travel/special-procedures/traveling-children,HEAD,airport-pickup-non-parents.md
OK,200,https://www.fda.gov/consumers/consumer-updates/spilling-beans-how-much-caffeine-too-much,HEAD,caffeine-youth-athletes.md; energy-drinks-youth.md
OK,200,https://www.usabaseball.com/,HEAD,batting-helmet-face-guards.md; catchers-gear-safety.md
OK,200,https://www.ncaa.org/sports/2015/6/10/ncaa-banned-substances.aspx,HEAD,banned-substances-hs-college.md
OK,200,https://koreystringer.institute.uconn.edu/,HEAD,artificial-turf-temperatures-burn-risk.md; emergency-action-plan-template.md; heat-and-hydration.md; heat-exhaustion-vs-heatstroke.md; heatstroke-right-now.md; humidity-dew-point-practice-modifiers.md; league-questions-checklist.md; youth-football-safety-briefing.md; youth-track-and-field-safety-briefing.md
OK,200,https://orthoinfo.aaos.org/,HEAD,broken-bone-vs-sprain.md; cleats-and-foot-safety.md; growth-spurt-injury-window.md; hand-finger-fracture-triage.md; knee-braces-youth-sport.md; patellar-dislocation.md; play-through-pain-question.md; spinal-injury-cervical-spine-protocol.md; youth-baseball-safety-briefing.md; youth-basketball-safety-briefing.md; youth-cross-country-safety-briefing.md; youth-gymnastics-safety-briefing.md; youth-lacrosse-girls-safety-briefing.md; youth-soccer-safety-briefing.md; youth-softball-safety-briefing.md; youth-swimming-safety-briefing.md; youth-track-and-field-safety-briefing.md; youth-volleyball-safety-briefing.md
OK,200,https://positivecoach.org/,HEAD,bus-and-banquet-conduct.md; coach-coach-conflicts.md; coach-targeting-pattern.md; coach-verbal-abuse.md; sideline-parent-conduct.md; team-manager-parent-conduct.md
OK,200,https://projectplay.org/state-of-play-2025/introduction,HEAD,burnout-signs.md; single-sport-specialization.md
OK,200,https://www.cdc.gov/healthy-swimming/,HEAD,chlorine-asthma-swimmers.md; diving-board-rules-supervision.md; swim-ear-infection-prevention.md
OK,200,https://www.acep.org/,HEAD,broken-bone-vs-sprain.md; fainting-syncope-on-field.md; patellar-dislocation.md; shoulder-dislocation-on-field.md; spinal-injury-cervical-spine-protocol.md; vomiting-on-field-non-heat.md
OK,200,https://www.ntsb.gov/,HEAD,bus-charter-vetting.md
OK,200,https://www.projectadam.com/,HEAD,aed-location-field-readiness.md
OK,200,https://www.lung.org/clean-air/indoor-air,HEAD,chlorine-asthma-swimmers.md
OK,200,https://www.cdc.gov/heads-up/,HEAD,concussion-protocol-basics.md; concussion-protocol-basics.md; league-questions-checklist.md; suspected-concussion-right-now.md; suspected-concussion-right-now.md; vomiting-on-field-non-heat.md; youth-basketball-safety-briefing.md; youth-football-safety-briefing.md; youth-hockey-safety-briefing.md; youth-lacrosse-boys-safety-briefing.md; youth-lacrosse-girls-safety-briefing.md; youth-volleyball-safety-briefing.md
OK,200,https://cpr.heart.org/en/resources/aed-implementation,HEAD,aed-location-field-readiness.md; tournament-safety-plan-checklist.md
OK,200,https://www.weather.gov/safety/cold-wind-chill-chart,HEAD,cold-weather-practice.md
OK,200,https://www.commonsensemedia.org/,HEAD,cyberbullying-team-apps.md; live-streams-and-minor-athletes.md; photo-geotagging-team-posts.md; snapchat-snap-map-risks.md; team-app-dm-settings.md; tiktok-privacy-settings.md
OK,200,https://www.eatright.org/,HEAD,caffeine-youth-athletes.md; pre-game-nutrition.md
OK,200,https://nfhslearn.com/,HEAD,coach-coach-conflicts.md
OK,200,https://www.breakthrought1d.org/,HEAD,diabetic-emergency-on-field.md
